    51/299     6.11G   0.02182  0.008423         0   0.03024        17       480    0.9765    0.9766    0.9926    0.8365    0.0147  0.003276         0
    52/299     6.11G   0.02148  0.008253         0   0.02974         8       480    0.9767    0.9817    0.9937    0.8373   0.01464  0.003272         0
    53/299     6.11G   0.02153  0.008254         0   0.02978        12       480    0.9767    0.9818    0.9939    0.8439   0.01459  0.003247         0
    54/299     6.11G   0.02171  0.008312         0   0.03002         5       480    0.9766    0.9791    0.9938    0.8439   0.01456   0.00325         0
    55/299     6.11G    0.0216  0.008207         0   0.02981         9       480     0.974    0.9766    0.9924    0.8444   0.01453  0.003255         0
    56/299     6.11G   0.02157  0.008246         0   0.02982         7       480    0.9717    0.9844    0.9937     0.841    0.0145  0.003248         0
    57/299     6.11G   0.02139  0.008255         0   0.02965        10       480    0.9792    0.9818    0.9939    0.8443   0.01444  0.003251         0
    58/299     6.11G   0.02125  0.008201         0   0.02945        11       480    0.9742    0.9844    0.9938    0.8464   0.01434  0.003239         0
    59/299     6.11G   0.02123  0.008123         0   0.02935         9       480    0.9717    0.9844    0.9936    0.8465   0.01429  0.003223         0
    60/299     6.11G   0.02101  0.008058         0   0.02907         6       480    0.9766    0.9791    0.9935    0.8447   0.01424  0.003215         0
    61/299     6.11G   0.02089  0.008042         0   0.02893         6       480    0.9842     0.974    0.9936    0.8459   0.01422    0.0032         0
    62/299     6.11G   0.02109  0.008037         0   0.02913        11       480    0.9868    0.9713    0.9935    0.8447   0.01418  0.003193         0
    63/299     6.11G   0.02087  0.008065         0   0.02894        12       480    0.9668    0.9896    0.9935    0.8481    0.0141  0.003177         0
    64/299     6.11G   0.02084  0.008023         0   0.02886        11       480    0.9742     0.987    0.9935    0.8473   0.01406  0.003157         0
    65/299     6.11G    0.0207  0.007998         0    0.0287         8       480    0.9744    0.9895    0.9935    0.8471   0.01404  0.003145         0
    66/299     6.11G   0.02064  0.007998         0   0.02864        10       480    0.9742    0.9896    0.9936    0.8481     0.014  0.003138         0
    67/299     6.11G   0.02066  0.007909         0   0.02857        11       480    0.9744    0.9895    0.9936    0.8497   0.01397  0.003132         0
    68/299     6.11G   0.02059  0.007826         0   0.02841         6       480    0.9768     0.987    0.9937    0.8498   0.01394  0.003127         0
    69/299     6.11G   0.02054  0.007881         0   0.02842         4       480    0.9768     0.987    0.9936      0.85    0.0139  0.003121         0
    70/299     6.11G   0.02051  0.007849         0   0.02836        11       480    0.9768     0.987    0.9937     0.851   0.01386  0.003112         0
    71/299     6.11G    0.0206  0.007834         0   0.02843        12       480    0.9793    0.9869    0.9937    0.8502   0.01385   0.00311         0
    72/299     6.11G   0.02028  0.007719         0     0.028         6       480    0.9793    0.9869    0.9938    0.8521   0.01383  0.003105         0
    73/299     6.11G   0.02021  0.007813         0   0.02802        10       480    0.9793     0.987    0.9939     0.851   0.01381  0.003101         0
    74/299     6.11G   0.02056  0.007822         0   0.02838        11       480    0.9793     0.987    0.9939    0.8514   0.01377  0.003096         0
    75/299     6.11G   0.02021  0.007775         0   0.02799         7       480    0.9793     0.987     0.994    0.8512   0.01375  0.003093         0
    76/299     6.11G   0.02025  0.007768         0   0.02802         8       480    0.9793     0.987     0.994     0.852   0.01373  0.003089         0
    77/299     6.11G   0.02029  0.007757         0   0.02804        12       480    0.9793     0.987     0.994    0.8527   0.01372  0.003085         0
    78/299     6.11G   0.02009  0.007815         0   0.02791        10       480    0.9793     0.987     0.994     0.852    0.0137  0.003082         0
    79/299     6.11G   0.02005  0.007628         0   0.02768        11       480    0.9793     0.987     0.994    0.8515   0.01368  0.003078         0
    80/299     6.11G   0.01994  0.007655         0    0.0276         8       480    0.9793     0.987    0.9941    0.8518   0.01367  0.003074         0
    81/299     6.11G    0.0199  0.007616         0   0.02752         7       480    0.9867    0.9818    0.9942    0.8521   0.01365   0.00307         0
