    51/299     7.51G   0.02171  0.008323         0   0.03004        23       480    0.9721    0.9784      0.99    0.8259   0.01543  0.003313         0
    52/299     7.51G   0.02173  0.008378         0   0.03011        26       480    0.9742    0.9784     0.991    0.8265   0.01557  0.003298         0
    53/299     7.51G    0.0216  0.008415         0   0.03001        27       480    0.9692    0.9849    0.9911    0.8307   0.01542  0.003299         0
    54/299     7.51G   0.02148  0.008318         0    0.0298        28       480    0.9681    0.9827    0.9907    0.8325   0.01535  0.003309         0
    55/299     7.51G   0.02136  0.008291         0   0.02965        28       480    0.9701    0.9827    0.9909    0.8347   0.01533  0.003295         0
    56/299     7.51G   0.02128  0.008317         0    0.0296        31       480    0.9681    0.9848    0.9913    0.8345   0.01523  0.003284         0
    57/299     7.51G   0.02128   0.00827         0   0.02955        26       480    0.9662     0.987    0.9916    0.8359   0.01528  0.003277         0
    58/299     7.51G    0.0211  0.008147         0   0.02925        31       480    0.9724    0.9892    0.9919    0.8347   0.01539  0.003273         0
    59/299     7.51G   0.02113  0.008099         0   0.02923        28       480    0.9724    0.9892    0.9919    0.8338   0.01537   0.00326         0
    60/299     7.51G   0.02092  0.008185         0    0.0291        38       480    0.9781    0.9849    0.9919    0.8354   0.01531  0.003253         0
    61/299     7.51G   0.02107  0.008163         0   0.02923        27       480    0.9786     0.987    0.9919    0.8357   0.01525  0.003241         0
    62/299     7.51G   0.02097  0.008046         0   0.02901        23       480    0.9807     0.987    0.9917    0.8374   0.01517  0.003231         0
    63/299     7.51G   0.02104  0.008056         0    0.0291        25       480    0.9786    0.9892    0.9919     0.837   0.01509  0.003218         0
    64/299     7.51G   0.02083  0.007992         0   0.02882        31       480    0.9786    0.9892    0.9921    0.8363   0.01503  0.003211         0
    65/299     7.51G    0.0207   0.00802         0   0.02872        18       480    0.9786     0.987    0.9921    0.8358   0.01498  0.003205         0
    66/299     7.51G   0.02077  0.008014         0   0.02878        28       480    0.9807     0.987     0.992    0.8371   0.01488  0.003189         0
    67/299     7.51G   0.02053  0.007968         0   0.02849        19       480    0.9807     0.987     0.992    0.8372    0.0148  0.003176         0
    68/299     7.51G   0.02045   0.00785         0    0.0283        31       480    0.9807     0.987    0.9921    0.8382   0.01468  0.003166         0
    69/299     7.51G   0.02051  0.007898         0    0.0284        28       480    0.9807    0.9891    0.9921    0.8395   0.01459  0.003158         0
    70/299     7.51G   0.02036  0.007819         0   0.02818        29       480    0.9807    0.9892    0.9921    0.8389   0.01454  0.003154         0
    71/299     7.51G   0.02031  0.007803         0   0.02811        26       480    0.9807    0.9892    0.9921    0.8392   0.01449  0.003152         0
